_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites
"$$BUZZ,7,11:27:32,51.94714,-2.53991,00000,3*F389",M0RPI/5,7,11:27:32,51.94714,-2.53991,0,3
"$$BUZZ,8,11:27:38,51.94720,-2.53999,00000,3*5DC3",M0RPI/5,8,11:27:38,51.9472,-2.53999,0,3
"$$BUZZ,9,11:27:44,51.94726,-2.54007,00000,3*51D7",M0RPI/5,9,11:27:44,51.94726,-2.54007,0,3
"$$BUZZ,10,11:27:50,51.94729,-2.54012,00000,3*0A15",M0RPI/5,10,11:27:50,51.94729,-2.54012,0,3
"$$BUZZ,11,11:27:56,51.94731,-2.54014,00000,3*29F8",M0RPI/5,11,11:27:56,51.94731,-2.54014,0,3
"$$BUZZ,12,11:28:02,51.94732,-2.54015,00000,3*2D93",M0RPI/5,12,11:28:02,51.94732,-2.54015,0,3
"$$BUZZ,13,11:28:08,51.94732,-2.54014,00000,3*6E0D",M0RPI/5,13,11:28:08,51.94732,-2.54014,0,3
"$$BUZZ,14,11:28:14,51.94730,-2.54012,00000,3*C03D",M0RPI/5,14,11:28:14,51.9473,-2.54012,0,3
"$$BUZZ,15,11:28:20,51.94728,-2.54008,00000,3*7EF5",M0RPI/5,15,11:28:20,51.94728,-2.54008,0,3
"$$BUZZ,16,11:28:26,51.94726,-2.54003,00000,3*8F52",M0RPI/5,16,11:28:26,51.94726,-2.54003,0,3
"$$BUZZ,17,11:28:32,51.94721,-2.53996,00000,3*0784",M0RPI/5,17,11:28:32,51.94721,-2.53996,0,3
"$$BUZZ,18,11:28:36,51.94719,-2.53992,00000,0*F911",M0RPI/5,18,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,19,11:28:36,51.94719,-2.53992,00000,0*D050",M0RPI/5,19,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,20,11:28:36,51.94719,-2.53992,00000,0*AFC4",M0RPI/5,20,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,21,11:28:36,51.94719,-2.53992,00000,0*8685",M0RPI/5,21,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,22,11:28:36,51.94719,-2.53992,00000,0*FD46",M0RPI/5,22,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,23,11:28:36,51.94719,-2.53992,00000,0*D407",M0RPI/5,23,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,24,11:28:36,51.94719,-2.53992,00000,0*0AC0",M0RPI/5,24,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,25,11:28:36,51.94719,-2.53992,00000,0*2381",M0RPI/5,25,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,26,11:28:36,51.94719,-2.53992,00000,0*5842",M0RPI/5,26,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,27,11:28:36,51.94719,-2.53992,00000,0*7103",M0RPI/5,27,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,28,11:28:36,51.94719,-2.53992,00000,0*F5ED",M0RPI/5,28,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,29,11:28:36,51.94719,-2.53992,00000,0*DCAC",M0RPI/5,29,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,30,11:28:36,51.94719,-2.53992,00000,0*5B8F",M0RPI/5,30,11:28:36,51.94719,-2.53992,0,0
"$$BUZZ,31,11:30:24,51.94783,-2.54100,00000,3*8C85",M0RPI/5,31,11:30:24,51.94783,-2.541,0,3
"$$BUZZ,32,11:30:32,51.94693,-2.53948,00000,3*6925",M0RPI/5,32,11:30:32,51.94693,-2.53948,0,3
"$$BUZZ,33,11:30:38,51.94669,-2.53915,00000,3*F6D6",M0RPI/5,33,11:30:38,51.94669,-2.53915,0,3
"$$BUZZ,34,11:30:44,51.94676,-2.53924,00000,3*AC1C",M0RPI/5,34,11:30:44,51.94676,-2.53924,0,3
"$$BUZZ,35,11:30:50,51.94708,-2.53968,00000,3*1253",M0RPI/5,35,11:30:50,51.94708,-2.53968,0,3
"$$BUZZ,36,11:30:56,51.94739,-2.54017,00000,3*62D7",M0RPI/5,36,11:30:56,51.94739,-2.54017,0,3
"$$BUZZ,37,11:31:02,51.94740,-2.54014,00000,3*B7D0",M0RPI/5,37,11:31:02,51.9474,-2.54014,0,3
"$$BUZZ,38,11:31:07,51.94704,-2.53953,00000,0*9509",M0RPI/5,38,11:31:07,51.94704,-2.53953,0,0
"$$BUZZ,39,11:31:14,51.94685,-2.53918,00000,3*6B27",M0RPI/5,39,11:31:14,51.94685,-2.53918,0,3
"$$BUZZ,40,11:31:20,51.94675,-2.53904,00000,3*BDAC",M0RPI/5,40,11:31:20,51.94675,-2.53904,0,3
"$$BUZZ,41,11:31:26,51.94637,-2.53840,00000,3*BA76",M0RPI/5,41,11:31:26,51.94637,-2.5384,0,3
"$$BUZZ,42,11:31:31,51.94647,-2.53859,00000,0*28F6",M0RPI/5,42,11:31:31,51.94647,-2.53859,0,0
"$$BUZZ,43,11:31:38,51.94625,-2.53822,00000,3*8380",M0RPI/5,43,11:31:38,51.94625,-2.53822,0,3
"$$BUZZ,44,11:31:40,51.94603,-2.53787,00000,0*FD3D",M0RPI/5,44,11:31:40,51.94603,-2.53787,0,0
"$$BUZZ,45,11:31:40,51.94603,-2.53787,00000,0*D47C",M0RPI/5,45,11:31:40,51.94603,-2.53787,0,0
